TAS_A

 ======== test get_l2 ========= 

2026-02-10 16:43:16,448; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/TAS_A.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:43:18,145; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 4/5843
2026-02-10 16:43:18,171; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 5/5843
2026-02-10 16:43:18,276; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 2/5843
2026-02-10 16:43:18,299; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 1/5843
2026-02-10 16:43:18,402; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/5843
2026-02-10 16:43:18,431; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 1/5843
2026-02-10 16:43:18,541; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/5843
2026-02-10 16:43:18,565; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/5843
2026-02-10 16:43:18,680; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 0/5843
2026-02-10 16:43:18,801; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 1/5843
2026-02-10 16:43:18,910; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/5843
2026-02-10 16:43:18,945; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/5843
2026-02-10 16:43:19,055; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/5843
2026-02-10 16:43:19,154; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/5843
2026-02-10 16:43:19,252; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 2/5843
2026-02-10 16:43:19,328; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/5843
2026-02-10 16:43:19,345; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/5843
2026-02-10 16:43:19,424; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 1/5843
2026-02-10 16:43:19,500; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/5843
2026-02-10 16:43:19,566; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_A.csv
2026-02-10 16:43:19,789; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/TAS_A.csv
2026-02-10 16:43:19,821; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-09 00:00:00 2014-10-13 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,826; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-09 00:00:00 2014-10-13 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,830; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-09 00:00:00 2014-10-13 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,834; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-09 00:00:00 2014-10-13 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,837; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-29 00:00:00 2014-12-01 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,843; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-29 00:00:00 2014-12-01 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,848; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-29 00:00:00 2014-12-01 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,852; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-29 00:00:00 2014-12-01 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,856; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,859; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,863; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,865; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,915; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-06 00:00:00 2015-02-12 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,919; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-06 00:00:00 2015-02-12 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,922; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-06 00:00:00 2015-02-12 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,925; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-06 00:00:00 2015-02-12 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,929; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-06 00:00:00 2016-12-09 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,937; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-06 00:00:00 2016-12-09 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,943; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-06 00:00:00 2016-12-09 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,946; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-06 00:00:00 2016-12-09 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,950; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-13 00:00:00 2017-02-17 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,954; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-13 00:00:00 2017-02-17 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,959; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-13 00:00:00 2017-02-17 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,962; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-13 00:00:00 2017-02-17 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,968; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-27 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,971; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-27 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,975; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-27 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,978; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-12-25 00:00:00 2020-12-27 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,983; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-01-29 00:00:00 2021-02-02 00:00:00 dlr with RIME, flagged 0/5843
2026-02-10 16:43:19,986; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-01-29 00:00:00 2021-02-02 00:00:00 ulr with RIME, flagged 0/5843
2026-02-10 16:43:19,989; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-01-29 00:00:00 2021-02-02 00:00:00 dsr with RIME, flagged 0/5843
2026-02-10 16:43:19,992; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-01-29 00:00:00 2021-02-02 00:00:00 usr with RIME, flagged 0/5843
2026-02-10 16:43:19,998; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-23 00:00:00 2022-10-27 00:00:00 dlr with RIME, flagged 97/5843
2026-02-10 16:43:20,003; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-23 00:00:00 2022-10-27 00:00:00 ulr with RIME, flagged 97/5843
2026-02-10 16:43:20,009; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-23 00:00:00 2022-10-27 00:00:00 dsr with RIME, flagged 97/5843
2026-02-10 16:43:20,014; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-23 00:00:00 2022-10-27 00:00:00 usr with RIME, flagged 97/5843
2026-02-10 16:43:20,020; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-01-27 00:00:00 2023-01-30 00:00:00 dlr with RIME, flagged 4/5843
2026-02-10 16:43:20,026; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-01-27 00:00:00 2023-01-30 00:00:00 ulr with RIME, flagged 4/5843
2026-02-10 16:43:20,030; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-01-27 00:00:00 2023-01-30 00:00:00 dsr with RIME, flagged 4/5843
2026-02-10 16:43:20,037; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-01-27 00:00:00 2023-01-30 00:00:00 usr with RIME, flagged 4/5843
2026-02-10 16:43:20,043; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-05 00:00:00 2023-04-08 00:00:00 dlr with RIME, flagged 4/5843
2026-02-10 16:43:20,049; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-05 00:00:00 2023-04-08 00:00:00 ulr with RIME, flagged 4/5843
2026-02-10 16:43:20,055; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-05 00:00:00 2023-04-08 00:00:00 dsr with RIME, flagged 4/5843
2026-02-10 16:43:20,061; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-05 00:00:00 2023-04-08 00:00:00 usr with RIME, flagged 4/5843
2026-02-10 16:43:20,065; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-01 00:00:00 2020-06-01 00:00:00 dlr with CHECKME, flagged 0/5843
2026-02-10 16:43:20,069; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-01 00:00:00 2020-06-01 00:00:00 ulr with CHECKME, flagged 0/5843
2026-02-10 16:43:20,074; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-01 00:00:00 2020-06-01 00:00:00 t_rad with CHECKME, flagged 0/5843
2026-02-10 16:43:20,078; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 rh_u with NAN, flagged 0/5843
2026-02-10 16:43:20,082; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 t_u with NAN, flagged 0/5843
2026-02-10 16:43:20,086; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 wspd_u with NAN, flagged 0/5843
2026-02-10 16:43:20,089; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 wdir_u with NAN, flagged 0/5843
2026-02-10 16:43:20,092; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 p_u with NAN, flagged 0/5843
2026-02-10 16:43:20,096; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 rh_i with NAN, flagged 0/5843
2026-02-10 16:43:20,100; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 t_i with NAN, flagged 0/5843
2026-02-10 16:43:20,102; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 wspd_i with NAN, flagged 0/5843
2026-02-10 16:43:20,107; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 wdir_i with NAN, flagged 0/5843
2026-02-10 16:43:20,110; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 p_i with NAN, flagged 0/5843
2026-02-10 16:43:20,113; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 dsr with NAN, flagged 0/5843
2026-02-10 16:43:20,117; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 usr with NAN, flagged 0/5843
2026-02-10 16:43:20,120; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 dlr with NAN, flagged 0/5843
2026-02-10 16:43:20,124; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 ulr with NAN, flagged 0/5843
2026-02-10 16:43:20,127; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 z_boom_u with NAN, flagged 0/5843
2026-02-10 16:43:20,130; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-08-11 00:00:00 2018-09-01 00:00:00 t_rad with NAN, flagged 0/5843
2026-02-10 16:43:20,137; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 rh_u with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,144; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 t_u with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,150; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 wspd_u with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,157; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 wdir_u with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,163; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 p_u with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,168; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 rh_i with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,174; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 t_i with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,180; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 wspd_i with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,186; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 wdir_i with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,191; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 p_i with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,197; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 dsr with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,202; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 usr with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,208; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 dlr with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,213; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 ulr with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,219; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 z_boom_u with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,225; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 t_rad with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,232; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 z_pt with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,237; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-01 00:00:00 2024-09-10 00:00:00 z_pt_cor with CONFIRMED, flagged 15/5843
2026-02-10 16:43:20,241; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_1 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,248; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_1 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,254; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_2 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,259; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_2 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,263; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_3 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,268; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_3 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,275; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_4 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,278; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_4 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,285; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_5 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,290; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_5 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,295; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_6 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,300; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_6 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,307; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_7 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,311; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_7 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,317; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-06-02 00:00:00 2018-09-08 00:00:00 t_i_8 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,321; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-01-01 00:00:00 2022-09-03 00:00:00 t_i_8 with CHECKME, flagged 0/5843
2026-02-10 16:43:20,329; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 t_u with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,333; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 t_i with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,336; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 rh_u with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,339; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 rh_i with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,344; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 p_u with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,348; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 p_i with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,351; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 dsr with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,355; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 usr with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,359; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 dlr with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,362; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 ulr with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,364; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 wspd_u with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,370; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 wspd_i with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,373; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 wdir_u with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,378; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 wdir_i with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,381; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 z_boom_u with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,383; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-23 00:00:00 2022-09-03 00:00:00 t_rad with CONFIRMED, flagged 0/5843
2026-02-10 16:43:20,392; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-08-10 00:00:00 2024-09-06 18:00:00 wdir_i with CHECKME, flagged 1468/5843
2026-02-10 16:43:20,396; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-08-10 00:00:00 2024-09-06 18:00:00 wdir_u with CHECKME, flagged 1468/5843
2026-02-10 16:43:20,400; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-28 00:00:00 2020-08-18 00:00:00 wspd_u with CHECKME, flagged 0/5843
2026-02-10 16:43:20,403; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-12-28 00:00:00 2020-08-18 00:00:00 wdir_u with CHECKME, flagged 0/5843
2026-02-10 16:43:20,407; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-07-10 00:00:00 2023-07-31 00:00:00 z_boom_u with CHECKME, flagged 505/5843
2026-02-10 16:43:20,411; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-07 00:00:00 2017-11-26 00:00:00 z_pt_cor with CHECKME, flagged 0/5843
2026-02-10 16:43:20,414; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-24 00:00:00 2018-12-01 00:00:00 z_pt_cor with CHECKME, flagged 0/5843
2026-02-10 16:43:20,418; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-17 00:00:00 2022-02-01 00:00:00 z_pt_cor with CONFIRMED, flagged 0/5843
