TAS_Av3

 ======== test get_l2 ========= 

2026-02-10 16:43:41,063; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:43:41,069; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_1 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,076; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_2 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,083; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_3 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,090; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_4 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,097; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_5 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,103; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_6 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,110; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_7 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,118; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_8 min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,123; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-01-01 00:00:00 2025-03-01 00:00:00 t_u max_filter -0.1 flagged 0/52398
2026-02-10 16:43:41,127; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-09-01 00:00:00 2026-03-01 00:00:00 t_u min_filter -20.0 flagged 0/52398
2026-02-10 16:43:41,129; INFO; pypromice.core.qc.github_data_issues; ---> 2026-01-01 00:00:00 2026-01-06 00:00:00 t_u min_filter -19.0
2026-02-10 16:43:41,129; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:43:41,134; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u max_filter 3.0 flagged 334/52398
2026-02-10 16:43:43,668; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:43:43,900; INFO; pypromice.io.write; Resampling to 10min
2026-02-10 16:43:44,031; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:46,555; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/TAS_Av3/TAS_Av3_10min.csv
2026-02-10 16:43:46,555; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/TAS_Av3/TAS_Av3_10min.nc
2026-02-10 16:43:46,617; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:43:47,029; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:43:47,134; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:47,843; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/TAS_Av3/TAS_Av3_hour.csv
2026-02-10 16:43:47,843; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/TAS_Av3/TAS_Av3_hour.nc

 ======== test join_l2 ========= 

2026-02-10 16:43:48,914; INFO; pypromice.pipeline.join_l2; TAS_Av3 array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/TAS_Av3/TAS_Av3_hour.nc
2026-02-10 16:43:49,039; INFO; pypromice.pipeline.join_l2; TAS_Av3 array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/TAS_Av3/TAS_Av3_hour.nc
2026-02-10 16:43:49,039; INFO; pypromice.pipeline.join_l2; Combining /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/TAS_Av3/TAS_Av3_hour.nc with /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/TAS_Av3/TAS_Av3_hour.nc...
