KAN_B

 ======== test get_l2 ========= 

2026-02-10 15:54:34,808; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/KAN_B.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 15:58:52,188; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/KAN_B.csv file to read.
2026-02-10 15:59:02,824; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2026-02-10 15:59:02,867; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u max_filter 2.63 flagged 48380/756542
2026-02-10 15:59:02,912; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u min_filter 2.37 flagged 11764/756542
2026-02-10 15:59:02,937; DEBUG; pypromice.core.qc.github_data_issues; ---> None 2011-07-01 00:00:00 z_boom_cor_u min_filter 2.6 flagged 391/756542
/home/bav/miniforge3/lib/python3.12/site-packages/xarray/computation/apply_ufunc.py:818: RuntimeWarning: divide by zero encountered in log10
  result_data = func(*input_data)
2026-02-10 15:59:34,534; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 15:59:49,623; INFO; pypromice.io.write; Resampling to 10min
2026-02-10 15:59:50,261; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:00:15,075; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/KAN_B/KAN_B_10min.csv
2026-02-10 16:00:15,076; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/KAN_B/KAN_B_10min.nc
2026-02-10 16:00:19,250; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:00:23,717; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:00:24,118; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:00:30,840; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/KAN_B/KAN_B_hour.csv
2026-02-10 16:00:30,841; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/KAN_B/KAN_B_hour.nc

 ======== test join_l2 ========= 

2026-02-10 16:00:34,245; INFO; pypromice.pipeline.join_l2; KAN_B array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/KAN_B/KAN_B_hour.nc
2026-02-10 16:00:35,009; INFO; pypromice.pipeline.join_l2; KAN_B array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/KAN_B/KAN_B_hour.nc
2026-02-10 16:00:35,009; INFO; pypromice.pipeline.join_l2; Combining /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/KAN_B/KAN_B_hour.nc with /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/KAN_B/KAN_B_hour.nc...
2026-02-10 16:00:35,383; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:00:41,522; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/KAN_B/KAN_B_hour.csv
2026-02-10 16:00:41,523; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/KAN_B/KAN_B_hour.nc
2026-02-10 16:00:41,523; INFO; pypromice.pipeline.join_l2; Files saved to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/KAN_B...

 ======== test l2tol3 ========= 

2026-02-10 16:00:42,135; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
no gps_lat at KAN_B
no gps_lon at KAN_B
no gps_alt at KAN_B
2026-02-10 16:00:42,201; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2026-02-10 16:00:42,211; INFO; pypromice.pipeline.L2toL3; Combining surface height
2026-02-10 16:00:42,212; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2026-02-10 16:00:42,212; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2026-02-10 16:00:42,398; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:00:42,986; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:00:43,238; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:00:48,947; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/KAN_B/KAN_B_hour.csv
2026-02-10 16:00:48,947; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/KAN_B/KAN_B_hour.nc
2026-02-10 16:00:48,962; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:00:49,280; INFO; pypromice.io.write; Resampling to 1D
2026-02-10 16:00:49,411; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:00:50,007; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/KAN_B/KAN_B_day.csv
2026-02-10 16:00:50,007; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/KAN_B/KAN_B_day.nc
2026-02-10 16:00:50,017; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:00:50,289; INFO; pypromice.io.write; Resampling to MS
2026-02-10 16:00:50,413; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:00:50,579; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/KAN_B/KAN_B_month.csv
2026-02-10 16:00:50,579; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/KAN_B/KAN_B_month.nc
