LYN_T

 ======== test get_l2 ========= 

2026-02-10 16:10:56,567; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/LYN_T.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:11:01,451; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-01 00:00:00 2022-10-14 00:00:00 dlr with RIME, flagged 313/12720
2026-02-10 16:11:01,455; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-01 00:00:00 2022-10-14 00:00:00 ulr with RIME, flagged 313/12720
2026-02-10 16:11:01,459; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-01 00:00:00 2022-10-14 00:00:00 dsr with RIME, flagged 313/12720
2026-02-10 16:11:01,463; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-01 00:00:00 2022-10-14 00:00:00 usr with RIME, flagged 313/12720
2026-02-10 16:11:01,467; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-19 00:00:00 2022-10-21 00:00:00 dlr with RIME, flagged 49/12720
2026-02-10 16:11:01,471; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-19 00:00:00 2022-10-21 00:00:00 ulr with RIME, flagged 49/12720
2026-02-10 16:11:01,475; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-19 00:00:00 2022-10-21 00:00:00 dsr with RIME, flagged 49/12720
2026-02-10 16:11:01,479; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-19 00:00:00 2022-10-21 00:00:00 usr with RIME, flagged 49/12720
2026-02-10 16:11:01,484; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-30 00:00:00 2022-11-01 00:00:00 dlr with RIME, flagged 48/12720
2026-02-10 16:11:01,488; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-30 00:00:00 2022-11-01 00:00:00 ulr with RIME, flagged 48/12720
2026-02-10 16:11:01,493; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-30 00:00:00 2022-11-01 00:00:00 dsr with RIME, flagged 48/12720
2026-02-10 16:11:01,497; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-30 00:00:00 2022-11-01 00:00:00 usr with RIME, flagged 48/12720
2026-02-10 16:11:01,501; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-19 00:00:00 2023-04-21 00:00:00 dlr with RIME, flagged 49/12720
2026-02-10 16:11:01,505; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-19 00:00:00 2023-04-21 00:00:00 ulr with RIME, flagged 49/12720
2026-02-10 16:11:01,509; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-19 00:00:00 2023-04-21 00:00:00 dsr with RIME, flagged 49/12720
2026-02-10 16:11:01,513; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-19 00:00:00 2023-04-21 00:00:00 usr with RIME, flagged 49/12720
2026-02-10 16:11:01,518; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-15 00:00:00 2023-09-23 00:00:00 dlr with RIME, flagged 193/12720
2026-02-10 16:11:01,522; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-15 00:00:00 2023-09-23 00:00:00 ulr with RIME, flagged 193/12720
2026-02-10 16:11:01,526; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-15 00:00:00 2023-09-23 00:00:00 dsr with RIME, flagged 193/12720
2026-02-10 16:11:01,530; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-15 00:00:00 2023-09-23 00:00:00 usr with RIME, flagged 193/12720
2026-02-10 16:11:01,535; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-27 00:00:00 2023-10-06 00:00:00 dlr with RIME, flagged 217/12720
2026-02-10 16:11:01,539; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-27 00:00:00 2023-10-06 00:00:00 ulr with RIME, flagged 217/12720
2026-02-10 16:11:01,543; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-27 00:00:00 2023-10-06 00:00:00 dsr with RIME, flagged 217/12720
2026-02-10 16:11:01,547; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-27 00:00:00 2023-10-06 00:00:00 usr with RIME, flagged 217/12720
2026-02-10 16:11:01,552; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-09 00:00:00 2023-10-26 00:00:00 dlr with RIME, flagged 409/12720
2026-02-10 16:11:01,556; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-09 00:00:00 2023-10-26 00:00:00 ulr with RIME, flagged 409/12720
2026-02-10 16:11:01,560; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-09 00:00:00 2023-10-26 00:00:00 dsr with RIME, flagged 409/12720
2026-02-10 16:11:01,564; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-09 00:00:00 2023-10-26 00:00:00 usr with RIME, flagged 409/12720
2026-02-10 16:11:01,569; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-29 00:00:00 2023-11-01 00:00:00 dlr with RIME, flagged 72/12720
2026-02-10 16:11:01,573; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-29 00:00:00 2023-11-01 00:00:00 ulr with RIME, flagged 72/12720
2026-02-10 16:11:01,578; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-29 00:00:00 2023-11-01 00:00:00 dsr with RIME, flagged 72/12720
2026-02-10 16:11:01,582; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-29 00:00:00 2023-11-01 00:00:00 usr with RIME, flagged 72/12720
2026-02-10 16:11:01,586; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 rh_u with NAN, flagged 1105/12720
2026-02-10 16:11:01,591; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 t_u with NAN, flagged 1105/12720
2026-02-10 16:11:01,595; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 wspd_u with NAN, flagged 1105/12720
2026-02-10 16:11:01,599; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 wdir_u with NAN, flagged 1105/12720
2026-02-10 16:11:01,603; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 p_u with NAN, flagged 1105/12720
2026-02-10 16:11:01,608; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 rh_i with NAN, flagged 1105/12720
2026-02-10 16:11:01,612; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 t_i with NAN, flagged 1105/12720
2026-02-10 16:11:01,616; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 wspd_i with NAN, flagged 1105/12720
2026-02-10 16:11:01,621; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 wdir_i with NAN, flagged 1105/12720
2026-02-10 16:11:01,625; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 p_i with NAN, flagged 1105/12720
2026-02-10 16:11:01,629; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 dsr with NAN, flagged 1105/12720
2026-02-10 16:11:01,633; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 usr with NAN, flagged 1105/12720
2026-02-10 16:11:01,637; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 dlr with NAN, flagged 1105/12720
2026-02-10 16:11:01,641; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 ulr with NAN, flagged 1105/12720
2026-02-10 16:11:01,646; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-05-27 00:00:00 2023-07-12 00:00:00 z_boom_u with NAN, flagged 1105/12720
2026-02-10 16:11:01,651; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 rh_u with NAN, flagged 597/12720
2026-02-10 16:11:01,686; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 t_u with NAN, flagged 597/12720
2026-02-10 16:11:01,691; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 wspd_u with NAN, flagged 597/12720
2026-02-10 16:11:01,695; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 wdir_u with NAN, flagged 597/12720
2026-02-10 16:11:01,700; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 p_u with NAN, flagged 597/12720
