THU_U2

 ======== test get_l2 ========= 

2026-02-10 16:48:10,806; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-14 00:00:00 2018-10-22 00:00:00 usr with RIME, flagged 1153/275025
2026-02-10 16:48:10,811; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2018-12-05 00:00:00 dlr with RIME, flagged 289/275025
2026-02-10 16:48:10,816; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2018-12-05 00:00:00 ulr with RIME, flagged 289/275025
2026-02-10 16:48:10,820; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2018-12-05 00:00:00 dsr with RIME, flagged 289/275025
2026-02-10 16:48:10,824; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2018-12-05 00:00:00 usr with RIME, flagged 289/275025
2026-02-10 16:48:10,829; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-20 00:00:00 2018-12-23 00:00:00 dlr with RIME, flagged 433/275025
2026-02-10 16:48:10,833; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-20 00:00:00 2018-12-23 00:00:00 ulr with RIME, flagged 433/275025
2026-02-10 16:48:10,837; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-20 00:00:00 2018-12-23 00:00:00 dsr with RIME, flagged 433/275025
2026-02-10 16:48:10,841; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-20 00:00:00 2018-12-23 00:00:00 usr with RIME, flagged 433/275025
2026-02-10 16:48:10,846; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-02-23 00:00:00 2019-02-25 00:00:00 dlr with RIME, flagged 289/275025
2026-02-10 16:48:10,850; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-02-23 00:00:00 2019-02-25 00:00:00 ulr with RIME, flagged 289/275025
2026-02-10 16:48:10,854; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-02-23 00:00:00 2019-02-25 00:00:00 dsr with RIME, flagged 289/275025
2026-02-10 16:48:10,859; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-02-23 00:00:00 2019-02-25 00:00:00 usr with RIME, flagged 289/275025
2026-02-10 16:48:10,863; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-03-09 00:00:00 2019-03-14 00:00:00 dlr with RIME, flagged 721/275025
