SER_B

 ======== test get_l2 ========= 

2026-02-10 16:43:27,021; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2026-02-10 16:43:27,024; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2026-02-10 16:43:27,041; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SER_B.csv
2026-02-10 16:43:27,042; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/SER_B.csv file to read.
2026-02-10 16:43:27,043; INFO; pypromice.pipeline.L2toL3; Combining surface height
2026-02-10 16:43:27,043; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2026-02-10 16:43:27,043; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2026-02-10 16:43:27,067; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:43:27,215; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:43:27,373; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:29,199; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SER_B/SER_B_hour.csv
2026-02-10 16:43:29,200; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SER_B/SER_B_hour.nc
2026-02-10 16:43:29,204; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:43:29,274; INFO; pypromice.io.write; Resampling to 1D
2026-02-10 16:43:29,417; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:29,896; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SER_B/SER_B_day.csv
2026-02-10 16:43:29,897; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SER_B/SER_B_day.nc
2026-02-10 16:43:29,901; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:43:29,962; INFO; pypromice.io.write; Resampling to MS
2026-02-10 16:43:30,072; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:31,382; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SER_B/SER_B_month.csv
2026-02-10 16:43:31,383; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/SER_B/SER_B_month.nc
