SCO_Lv3

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_Lv3.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:22,213; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/SCO_Lv3.csv file to read.
2026-02-10 16:37:22,935; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SCO_Lv3.csv
2026-02-10 16:37:22,956; DEBUG; pypromice.core.qc.github_data_issues; ---> None None precip_u max_filter 100.0 flagged 40/44189
2026-02-10 16:37:22,963; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_1 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:22,970; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_2 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:22,977; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_3 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:22,984; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_4 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:22,991; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_5 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:22,997; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_6 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:23,004; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_7 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:23,011; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_8 min_filter -30.0 flagged 0/44189
2026-02-10 16:37:23,018; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-01-13 00:00:00 2025-05-01 00:00:00 t_u max_filter -13.0 flagged 41/44189
2026-02-10 16:37:23,024; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-01-13 00:00:00 2025-05-01 00:00:00 t_u min_filter -35.0 flagged 0/44189
2026-02-10 16:37:23,031; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u max_filter 2.8 flagged 160/44189
/home/bav/miniforge3/lib/python3.12/site-packages/xarray/computation/apply_ufunc.py:818: RuntimeWarning: invalid value encountered in log10
  result_data = func(*input_data)
2026-02-10 16:37:25,306; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:37:25,483; INFO; pypromice.io.write; Resampling to 10min
