EGP

 ======== test get_l2 ========= 

2026-02-10 15:49:03,684; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 6/17844
2026-02-10 15:49:03,700; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_l (tol=1.0, factor=2.0): filtering 0/17844
2026-02-10 15:49:03,984; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/17844
2026-02-10 15:49:04,262; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 2/17844
2026-02-10 15:49:04,545; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/17844
2026-02-10 15:49:04,572; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/17844
2026-02-10 15:49:04,863; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 2/17844
2026-02-10 15:49:05,145; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/17844
2026-02-10 15:49:05,408; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/EGP.csv
2026-02-10 15:49:05,979; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/EGP.csv
2026-02-10 15:49:06,000; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-10 00:00:00 2016-09-12 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,006; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-10 00:00:00 2016-09-12 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,010; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-10 00:00:00 2016-09-12 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,013; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-10 00:00:00 2016-09-12 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,017; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-23 00:00:00 2016-09-25 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,021; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-23 00:00:00 2016-09-25 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,024; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-23 00:00:00 2016-09-25 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,027; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-09-23 00:00:00 2016-09-25 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,031; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-14 00:00:00 2016-10-18 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,035; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-14 00:00:00 2016-10-18 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,038; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-14 00:00:00 2016-10-18 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,041; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-14 00:00:00 2016-10-18 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,045; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-22 00:00:00 2016-10-25 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,048; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-22 00:00:00 2016-10-25 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,052; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-22 00:00:00 2016-10-25 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,055; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-22 00:00:00 2016-10-25 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,059; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-04 00:00:00 2016-11-12 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,062; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-04 00:00:00 2016-11-12 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,065; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-04 00:00:00 2016-11-12 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,068; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-04 00:00:00 2016-11-12 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,072; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-18 00:00:00 2016-11-23 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,075; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-18 00:00:00 2016-11-23 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,078; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-18 00:00:00 2016-11-23 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,081; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-18 00:00:00 2016-11-23 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,085; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-26 00:00:00 2016-12-22 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,088; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-26 00:00:00 2016-12-22 00:00:00 ulr with RIME, flagged 0/17844
