THU_U

 ======== test get_l2 ========= 

2026-02-10 16:47:54,521; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 62/331378
2026-02-10 16:47:58,583; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 56/331378
2026-02-10 16:47:58,949; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 107/331378
2026-02-10 16:48:03,020; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 93/331378
2026-02-10 16:48:03,388; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 60/331378
2026-02-10 16:48:07,477; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 49/331378
2026-02-10 16:48:07,538; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/331378
2026-02-10 16:48:11,289; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/331378
2026-02-10 16:48:15,033; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/331378
2026-02-10 16:48:18,757; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/331378
2026-02-10 16:48:26,225; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U.csv
2026-02-10 16:48:31,659; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_U.csv
2026-02-10 16:48:31,687; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-12 00:00:00 dlr with RIME, flagged 1153/331378
2026-02-10 16:48:31,698; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-12 00:00:00 ulr with RIME, flagged 1153/331378
2026-02-10 16:48:31,704; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-12 00:00:00 dsr with RIME, flagged 1153/331378
2026-02-10 16:48:31,710; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-12 00:00:00 usr with RIME, flagged 1153/331378
2026-02-10 16:48:31,716; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-23 00:00:00 2011-11-29 00:00:00 dlr with RIME, flagged 865/331378
2026-02-10 16:48:31,720; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-23 00:00:00 2011-11-29 00:00:00 ulr with RIME, flagged 865/331378
2026-02-10 16:48:31,725; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-23 00:00:00 2011-11-29 00:00:00 dsr with RIME, flagged 865/331378
2026-02-10 16:48:31,729; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-23 00:00:00 2011-11-29 00:00:00 usr with RIME, flagged 865/331378
2026-02-10 16:48:31,735; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-12-22 00:00:00 2011-12-25 00:00:00 dlr with RIME, flagged 433/331378
2026-02-10 16:48:31,739; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-12-22 00:00:00 2011-12-25 00:00:00 ulr with RIME, flagged 433/331378
2026-02-10 16:48:31,744; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-12-22 00:00:00 2011-12-25 00:00:00 dsr with RIME, flagged 433/331378
2026-02-10 16:48:31,748; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-12-22 00:00:00 2011-12-25 00:00:00 usr with RIME, flagged 433/331378
2026-02-10 16:48:31,753; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-01 00:00:00 2012-01-04 00:00:00 dlr with RIME, flagged 433/331378
2026-02-10 16:48:31,758; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-01 00:00:00 2012-01-04 00:00:00 ulr with RIME, flagged 433/331378
2026-02-10 16:48:31,762; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-01 00:00:00 2012-01-04 00:00:00 dsr with RIME, flagged 433/331378
2026-02-10 16:48:31,767; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-01 00:00:00 2012-01-04 00:00:00 usr with RIME, flagged 433/331378
2026-02-10 16:48:31,773; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-20 00:00:00 2012-10-23 00:00:00 dlr with RIME, flagged 433/331378
2026-02-10 16:48:31,778; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-20 00:00:00 2012-10-23 00:00:00 ulr with RIME, flagged 433/331378
2026-02-10 16:48:31,783; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-20 00:00:00 2012-10-23 00:00:00 dsr with RIME, flagged 433/331378
2026-02-10 16:48:31,787; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-20 00:00:00 2012-10-23 00:00:00 usr with RIME, flagged 433/331378
