SCO_U

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_U.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:03,650; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-03-24 00:00:00 2017-03-26 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,653; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-03-24 00:00:00 2017-03-26 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,655; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-03-24 00:00:00 2017-03-26 00:00:00 usr with RIME, flagged 0/9378
2026-02-10 16:37:03,658; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-27 00:00:00 2018-12-29 00:00:00 dlr with RIME, flagged 0/9378
2026-02-10 16:37:03,661; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-27 00:00:00 2018-12-29 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,664; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-27 00:00:00 2018-12-29 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,666; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-27 00:00:00 2018-12-29 00:00:00 usr with RIME, flagged 0/9378
2026-02-10 16:37:03,670; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-03-02 00:00:00 2020-03-04 00:00:00 dlr with RIME, flagged 0/9378
2026-02-10 16:37:03,673; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-03-02 00:00:00 2020-03-04 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,675; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-03-02 00:00:00 2020-03-04 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,678; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-03-02 00:00:00 2020-03-04 00:00:00 usr with RIME, flagged 0/9378
2026-02-10 16:37:03,681; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-10-02 00:00:00 2020-10-04 00:00:00 dlr with RIME, flagged 0/9378
2026-02-10 16:37:03,684; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-10-02 00:00:00 2020-10-04 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,686; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-10-02 00:00:00 2020-10-04 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,689; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-10-02 00:00:00 2020-10-04 00:00:00 usr with RIME, flagged 0/9378
2026-02-10 16:37:03,692; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2008-06-07 00:00:00 2008-09-11 00:00:00 z_boom_u with NAN, flagged 0/9378
2026-02-10 16:37:03,696; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-27 00:00:00 2009-11-26 00:00:00 z_pt_cor with NAN, flagged 0/9378
2026-02-10 16:37:03,699; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-09-07 00:00:00 2011-09-27 00:00:00 z_pt_cor with NAN, flagged 0/9378
2026-02-10 16:37:03,702; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-10-24 00:00:00 2021-09-17 00:00:00 z_pt_cor with NAN, flagged 0/9378
2026-02-10 16:37:03,706; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-03 00:00:00 2022-06-05 00:00:00 z_pt_cor with NAN, flagged 0/9378
2026-02-10 16:37:03,711; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-04 00:00:00 2023-06-15 00:00:00 z_pt_cor with NAN, flagged 2962/9378
2026-02-10 16:37:03,714; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-08-25 00:00:00 2012-08-29 00:00:00 z_stake with NAN, flagged 0/9378
2026-02-10 16:37:03,717; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-06-29 00:00:00 2014-10-29 00:00:00 z_stake with NAN, flagged 0/9378
